prototypes_per_class,beta,run,accuracy,confusion_matrix
1,2,1,0.41872791519434627,"[[167  25   2  14   2  10]
 [124  47   9   9  14  15]
 [  9   7   2 153  13   5]
 [  6   4   9 158   4  10]
 [ 21  10  14  18  46  36]
 [ 22  22  13  17  41  54]]"
1,2,2,0.42226148409893993,"[[168  30   2  12   1   7]
 [124  51   5  11   2  25]
 [  9   8   1 153   8  10]
 [  4   5  13 156   4   9]
 [ 21  12  10  19  21  62]
 [ 23  23   5  19  18  81]]"
1,2,3,0.4302120141342756,"[[167  26   1  13   2  11]
 [124  59   3  11   6  15]
 [  9   5   5 153   7  10]
 [  4   5   9 156   2  15]
 [ 20  11   7  19  33  55]
 [ 22  30   6  20  24  67]]"
1,2,4,0.4372791519434629,"[[167  27   1  14   1  10]
 [124  60   2  11   4  17]
 [  9   9   3 153  11   4]
 [  6   5   9 158   2  11]
 [ 21   9   8  17  39  51]
 [ 22  27   9  18  25  68]]"
1,2,5,0.42579505300353354,"[[167  25   3  14   2   9]
 [124  57   3  14   4  16]
 [  9   5   3 154  11   7]
 [  4   4  11 159   3  10]
 [ 20   9   6  19  34  57]
 [ 22  26   5  23  31  62]]"
1,4,1,0.4293286219081272,"[[167  25   1  13   1  13]
 [121  60   2  12   2  21]
 [  8   7   6 153   7   8]
 [  4   6  15 156   0  10]
 [ 20  17  13  16  20  59]
 [ 21  25   9  19  18  77]]"
1,4,2,0.4204946996466431,"[[165  29   1  15   3   7]
 [120  59   4  14   4  17]
 [  7   6   6 153   4  13]
 [  4   5  12 156   3  11]
 [ 20  10  14  17   9  75]
 [ 21  27  10  19  11  81]]"
1,4,3,0.42579505300353354,"[[165  31   3  13   0   8]
 [122  57   5  15   5  14]
 [  8   6   4 155   9   7]
 [  4   5  11 158   3  10]
 [ 20  10  10  17  33  55]
 [ 21  28  13  21  21  65]]"
1,4,4,0.4372791519434629,"[[168  26   2  13   3   8]
 [124  54   3  12  12  13]
 [  7   6   5 153  13   5]
 [  4   6  11 158   1  11]
 [ 21   8   8  16  43  49]
 [ 21  21   5  17  38  67]]"
1,4,5,0.43551236749116606,"[[165  31   2  12   0  10]
 [122  61   5  14   5  11]
 [  7   5   7 154  10   6]
 [  4  10   7 159   1  10]
 [ 19  10   7  17  33  59]
 [ 20  24   6  18  33  68]]"
1,6,1,0.4363957597173145,"[[168  35   0   6   1  10]
 [130  58   1   8   7  14]
 [  8  11   6 144  14   6]
 [  4   5  16 153   3  10]
 [ 21  12   2  17  39  54]
 [ 20  31   2  17  29  70]]"
1,6,2,0.4363957597173145,"[[167  27   1  11   2  12]
 [127  58   3  12   3  15]
 [  7   8   5 151  12   6]
 [  4   4  12 155   0  16]
 [ 21   8   2  17  31  66]
 [ 18  28   4  17  24  78]]"
1,6,3,0.4363957597173145,"[[168  29   1   9   1  12]
 [127  55   4   9   6  17]
 [  8  10   4 148  10   9]
 [  4   4  12 157   1  13]
 [ 21   7   4  18  33  62]
 [ 20  23   6  17  26  77]]"
1,6,4,0.43374558303886923,"[[168  33   3   6   0  10]
 [129  58   6   8   1  16]
 [  8  12   9 142  10   8]
 [  6   6  14 153   1  11]
 [ 22   8   6  20  34  55]
 [ 23  31   5  17  24  69]]"
